,Flaw Category,CWE ID,CWE Name,Flaw Severity ,Static,Dynamic
0,API Abuse,234.0,Failure to Handle Missing Parameter,3.0,X,
1,API Abuse,243.0,Creation of Chroot Jail Without Changing Working Directory,4.0,X,
2,API Abuse,245.0,J2EE Bad Practices: Direct Management of Connections,2.0,X,
3,API Abuse,560.0,Use of Umask() with Chmod-Style Argument,3.0,X,
4,API Abuse,628.0,Function Call with Incorrectly Specified Arguments,2.0,X,
5,API Abuse,675.0,Duplicate Operations on Resource,2.0,X,
6,Authentication Issues,287.0,Improper Authentication,4.0,X,X
7,Authentication Issues,352.0,Cross-Site Request Forgery (CSRF),3.0,X,X
8,Authentication Issues,693.0,Protection Mechanism Failure,3.0,X,X
9,Authorization Issues,99.0,Improper Control of Resource Identifiers,3.0,X,
10,Authorization Issues,272.0,Least Privilege Violation,3.0,X,
11,Authorization Issues,273.0,Improper Check for Dropped Privileges,3.0,X,
12,Authorization Issues,274.0,Improper Handling of Insufficient Privileges,0.0,X,
13,Authorization Issues,282.0,Improper Ownership Management,3.0,X,
14,Authorization Issues,285.0,Improper Authorization,3.0,X,X
15,Authorization Issues,346.0,Origin Validation Error,3.0,X,
16,Authorization Issues,350.0,Reliance on Reverse DNS Resolution for a Security-Critical Action,3.0,X,
17,Authorization Issues,639.0,Authorization Bypass Through User-Controlled Key,4.0,X,
18,Authorization Issues,566.0,Authorization Bypass Through User-Controlled SQL Primary Key,3.0,X,
19,Authorization Issues,708.0,Incorrect Ownership Assignment,4.0,X,
20,Authorization Issues,732.0,Incorrect Permission Assignment for Critical Resource,3.0,X,
21,Authorization Issues,942.0,Permissive Cross-domain Policy with Untrusted Domains,3.0,X,X
22,Buffer Management Errors,118.0,Improper Access of Indexable Resource (Range Error),3.0,X,
23,Buffer Management Errors,125.0,Out-of-Bounds Read,3.0,X,
24,Buffer Management Errors,129.0,Improper Validation of Array Index,3.0,X,
25,Buffer Management Errors,135.0,Incorrect Calculation of Multi-Byte String Length,5.0,X,
26,Buffer Management Errors,170.0,Improper Null Termination,3.0,X,
27,Buffer Management Errors,193.0,Off-by-One Error,3.0,X,
28,Buffer Management Errors,787.0,Out-of-Bounds Write,3.0,X,
29,Buffer Management Errors,823.0,Use of Out-of-Range Pointer Offset,3.0,X,
30,Buffer Management Errors,824.0,Access of Uninitialized Pointer,3.0,X,
31,Buffer Overflow,121.0,Stack-Based Buffer Overflow,5.0,X,
32,Code Injection,74.0,Improper Neutralization of Special Elements in Output Used by a Downstream Component (Injection),4.0,,X
33,Code Injection,91.0,XML Injection (Blind XPath Injection),3.0,X,X
34,Code Injection,94.0,Improper Control of Generation of Code,3.0,X,
35,Code Injection,95.0,Improper Neutralization of Directives in Dynamically Evaluated Code (‘Eval Injection’),5.0,X,X
36,Code Injection,98.0,Improper Control of Filename for Include/Require Statement in PHP Program (PHP File Inclusion),4.0,X,X
37,Code Injection,185.0,Incorrect Regular Expression,2.0,X,
38,Code Injection,830.0,Inclusion of Web Functionality from an Untrusted Source,2.0,,X
39,Code Quality,111.0,Direct Use of Unsafe JNI,4.0,X,
40,Code Quality,159.0,Failure to Sanitize Special Element,0.0,X,
41,Code Quality,401.0,Improper Release of Memory Before Removing Last Reference (Memory Leak),2.0,X,
42,Code Quality,404.0,Improper Resource Shutdown or Release,0.0,X,
43,Code Quality,415.0,Double Free,3.0,X,
44,Code Quality,416.0,Use After Free,2.0,X,
45,Code Quality,477.0,Use of Obsolete Functions,0.0,X,X
46,Code Quality,479.0,Signal Handler Use of a Non-Reentrant Function,3.0,X,
47,Code Quality,489.0,Leftover Debug Code,3.0,X,
48,Code Quality,597.0,Use of Wrong Operator in String Comparison,2.0,X,
49,Command or Argument Injection,77.0,Improper Neutralization of Special Elements used in a Command (Command Injection),5.0,X,
50,Command or Argument Injection,78.0,Improper Neutralization of Special Elements used in an OS Command (OS Command Injection),5.0,X,X
51,Command or Argument Injection,88.0,Argument Injection or Modification,3.0,X,
52,Credentials Management,256.0,Plaintext Storage of a Password,3.0,X,
53,Credentials Management,259.0,Use of Hard-coded Password,3.0,X,X
54,Credentials Management,522.0,Insufficiently Protected Credentials,3.0,X,X
55,Credentials Management,798.0,Use of Hard-code Credentials,3.0,X,
